YEAR      MONTH     PRECIPITATION (cm)      TEMPERATURE (C)         MANBEARPIGATTACKS       HEIGHT W/O ATTACK       GRAIN HEIGHT            GRAIN DEER              
2017      0         23.920                  -1.963                  14                      2.609                   2.409                   1                       
2017      1         27.453                  7.656                   1                       7.599                   4.799                   2                       
2017      2         34.457                  12.612                  15                      4.610                   4.410                   3                       
2017      3         31.471                  18.193                  8                       0.000                   0.000                   4                       
2017      4         27.234                  19.071                  19                      0.000                   0.000                   3                       
2017      5         16.580                  17.581                  6                       0.000                   0.000                   2                       
2017      6         6.866                   16.677                  3                       0.000                   0.000                   1                       
2017      7         1.310                   18.601                  11                      0.000                   0.000                   0                       
2017      8         3.815                   17.482                  1                       0.000                   0.000                   0                       
2017      9         4.331                   8.802                   11                      2.173                   1.973                   0                       
2017      10        6.135                   4.909                   10                      6.442                   4.242                   1                       
2017      11        8.427                   -2.352                  10                      4.888                   2.888                   2                       
2018      0         18.205                  1.297                   16                      7.244                   5.244                   3                       
2018      1         27.392                  2.750                   18                      10.989                  7.789                   4                       
2018      2         32.438                  5.356                   16                      13.002                  9.402                   5                       
2018      3         29.024                  18.149                  6                       6.919                   3.719                   6                       
2018      4         23.887                  18.046                  14                      0.000                   0.000                   5                       
2018      5         16.340                  22.461                  8                       0.000                   0.000                   4                       
2018      6         7.003                   20.705                  17                      0.000                   0.000                   3                       
2018      7         8.536                   22.267                  8                       0.000                   0.000                   2                       
2018      8         3.103                   7.419                   11                      1.779                   0.179                   1                       
2018      9         0.000                   8.092                   1                       0.000                   0.000                   0                       
2018      10        1.133                   7.100                   12                      2.556                   2.356                   0                       
2018      11        8.958                   1.618                   15                      6.417                   4.017                   1                       
2019      0         18.854                  4.543                   16                      11.001                  8.001                   2                       
2019      1         22.032                  1.086                   20                      12.455                  9.255                   3                       
2019      2         33.218                  10.867                  7                       9.667                   5.667                   4                       
2019      3         26.975                  10.202                  14                      6.390                   4.990                   5                       
2019      4         30.272                  19.561                  6                       0.000                   0.000                   4                       
2019      5         23.282                  23.017                  1                       0.000                   0.000                   3                       
2019      6         13.808                  23.348                  14                      0.000                   0.000                   2                       
2019      7         3.687                   13.498                  15                      0.000                   0.000                   1                       
2019      8         2.228                   11.522                  7                       0.000                   0.000                   0                       
2019      9         0.000                   10.814                  18                      0.000                   0.000                   0                       
2019      10        8.021                   5.991                   20                      4.636                   1.036                   0                       
2019      11        9.069                   3.345                   9                       6.124                   2.124                   1                       
2020      0         23.736                  -3.907                  11                      2.456                   0.656                   2                       
2020      1         29.185                  4.157                   14                      7.459                   5.259                   1                       
2020      2         30.287                  12.055                  20                      5.940                   3.140                   2                       
2020      3         31.226                  16.823                  12                      0.000                   0.000                   3                       
2020      4         21.984                  13.030                  13                      0.000                   0.000                   2                       
2020      5         16.801                  21.787                  13                      0.000                   0.000                   1                       
2020      6         12.620                  21.030                  9                       0.000                   0.000                   0                       
2020      7         2.916                   18.995                  14                      0.000                   0.000                   0                       
2020      8         0.000                   15.695                  9                       0.000                   0.000                   0                       
2020      9         0.000                   11.066                  15                      0.000                   0.000                   0                       
2020      10        3.825                   4.296                   6                       3.885                   0.885                   0                       
2020      11        7.971                   1.490                   3                       4.650                   3.450                   1                       
2021      0         19.857                  -0.066                  12                      6.897                   6.297                   2                       
2021      1         23.316                  -0.497                  8                       8.899                   6.499                   3                       
2021      2         28.096                  4.165                   17                      12.889                  11.289                  4                       
2021      3         26.345                  12.827                  6                       10.109                  6.709                   5                       
2021      4         30.499                  20.526                  7                       4.210                   3.010                   6                       
2021      5         23.287                  18.742                  12                      0.000                   0.000                   5                       
2021      6         10.393                  20.016                  2                       0.000                   0.000                   4                       
2021      7         2.950                   13.726                  3                       0.000                   0.000                   3                       
2021      8         0.000                   12.959                  7                       0.000                   0.000                   2                       
2021      9         0.000                   7.168                   12                      0.000                   0.000                   1                       
2021      10        9.005                   -2.090                  14                      0.000                   0.000                   0                       
2021      11        9.851                   -1.723                  7                       0.000                   0.000                   0                       
2022      0         16.209                  4.632                   5                       7.010                   5.610                   0                       
2022      1         22.667                  -2.072                  2                       7.608                   6.608                   1                       
2022      2         31.257                  5.816                   11                      13.245                  12.845                  2                       
2022      3         33.637                  7.921                   7                       16.713                  14.513                  3                       
2022      4         28.996                  19.140                  12                      13.020                  11.620                  4                       
2022      5         19.319                  18.240                  12                      9.636                   7.236                   5                       
2022      6         12.586                  21.481                  20                      4.736                   2.336                   6                       
2022      7         0.041                   20.455                  5                       0.000                   0.000                   5                       
2022      8         0.000                   13.658                  3                       0.000                   0.000                   4                       
2022      9         3.815                   6.263                   5                       1.491                   0.891                   3                       
2022      10        6.209                   7.120                   6                       2.975                   1.975                   2                       
2022      11        8.907                   -0.674                  13                      3.221                   2.021                   1                       
