
-----------------------------------------------------
|          ARRAY MULTIPLICATION EXPERIMENT          |
-----------------------------------------------------
ARRAY SIZE              SIMD AVG (sec)          SIMD PEAK (sec)         NON-SIMD AVG (sec)      NON-SIMD PEAK (sec)     SPEED-UP                
1024                    0.0000006480            0.0000006324            0.0000039094            0.0000035772            5.6568483063            
2048                    0.0000021530            0.0000021262            0.0000130358            0.0000124816            5.8703460359            
4096                    0.0000065831            0.0000065332            0.0000394096            0.0000371737            5.6899501069            
8192                    0.0000130299            0.0000129668            0.0000751153            0.0000544628            4.2001723766            
16384                   0.0000258867            0.0000258312            0.0001588555            0.0001497939            5.7989616383            
32768                   0.0000236700            0.0000235587            0.0001322118            0.0001204181            5.1114010120            
65536                   0.0000534823            0.0000532670            0.0002715509            0.0002591722            4.8655302037            
131072                  0.0001006346            0.0000962494            0.0004970196            0.0004663318            4.8450366242            
262144                  0.0002090343            0.0002005007            0.0010125982            0.0009678369            4.8270997650            
524288                  0.0004003344            0.0003952021            0.0019734066            0.0019375812            4.9027607254            
1048576                 0.0007918886            0.0007702261            0.0038213680            0.0037617981            4.8840178761            
2097152                 0.0024168244            0.0023916634            0.0080453591            0.0078775547            3.2937556391            
4194304                 0.0051781468            0.0051368503            0.0162767951            0.0159619767            3.1073470747            
8388608                 0.0105344379            0.0104890512            0.0325231540            0.0318713393            3.0385340491            
16777216                0.0211416917            0.0210146513            0.0655540900            0.0639272956            3.0420345670            
33554432                0.0440901012            0.0414284421            0.1320758473            0.1288479064            3.1101315858            

------------------------------------------
|          REDUCTION EXPERIMENT          |
------------------------------------------
ARRAY SIZE              SIMD AVG (sec)          SIMD PEAK (sec)         NON-SIMD AVG (sec)      NON-SIMD PEAK (sec)     SPEED-UP                
1024                    0.0000006709            0.0000006584            0.0000031606            0.0000031255            4.7468175389            
2048                    0.0000012433            0.0000012219            0.0000077633            0.0000060257            4.9314024390            
4096                    0.0000025280            0.0000025071            0.0000124708            0.0000124173            4.9528231798            
8192                    0.0000049721            0.0000049360            0.0000241234            0.0000240710            4.8766037736            
16384                   0.0000102072            0.0000101523            0.0000529405            0.0000497159            4.8969819283            
32768                   0.0000196467            0.0000195876            0.0000994789            0.0000962634            4.9145112210            
65536                   0.0000392084            0.0000391342            0.0001999787            0.0001927093            4.9243217515            
131072                  0.0000783791            0.0000783009            0.0004049882            0.0003854362            4.9224977698            
262144                  0.0001638684            0.0001567071            0.0008008566            0.0007712999            4.9219198517            
524288                  0.0003268197            0.0003231438            0.0016117978            0.0016012462            4.9552126534            
1048576                 0.0006353653            0.0006255163            0.0032413832            0.0031136991            4.9778066622            
2097152                 0.0012817550            0.0012620380            0.0063407491            0.0062634833            4.9629910051            
4194304                 0.0035152630            0.0030631190            0.0130697171            0.0129892807            4.2405406630            
8388608                 0.0062634059            0.0062475819            0.0268429865            0.0260553369            4.1704674366            
16777216                0.0126623381            0.0125648919            0.0526309458            0.0520605510            4.1433345563            
33554432                0.0254444456            0.0252858214            0.1056257319            0.1041019065            4.1170071105            
